Total_energy_Delta_E_AB_AB,Total_energy_BSSE_A,Total_energy_BSSE_B,MP2_correlation_energy_Delta_E_AB_AB,MP2_correlation_energy_BSSE_A,MP2_correlation_energy_BSSE_B,(T)_correlation_energy_Delta_E_AB_AB,(T)_correlation_energy_BSSE_A,(T)_correlation_energy_BSSE_B,CCSD_3correlation_energy_Delta_E_AB_AB,CCSD_3correlation_energy_BSSE_A,CCSD_3correlation_energy_BSSE_B,SCF_energy_Delta_E_AB_AB,SCF_energy_BSSE_A,SCF_energy_BSSE_B,x,y,z
"(0.0765916492476606,)","(0.001327881606499659,)","(0.0013278703938794933,)","(0.0008686941733979658,)","(0.0006628555703570016,)","(0.0006628555703580008,)","(-8.579131968599989e-05,)","(6.385184281300013e-05,)","(6.385093023900026e-05,)","(-0.00023033214966097781,)","(3.86873692449774e-05,)","(3.8677069107984074e-05,)","(0.0760390785439995,)","(0.0005624868240090564,)","(0.0005624868240090564,)",0.75,0.75,1.25
"(0.030491914531069142,)","(0.0007798736872075551,)","(0.0007799928062866002,)","(0.0003452620419919783,)","(0.0003183235534230111,)","(0.0003183235534230111,)","(-7.354442112000046e-05,)","(4.785630753699997e-05,)","(4.7864776170000126e-05,)","(-0.00022469024611701527,)","(3.1413630906973466e-05,)","(3.1524281571965185e-05,)","(0.030444887155965716,)","(0.00038228019499797483,)","(0.00038228019499797483,)",0.75,0.75,1.5
"(0.011328603511003621,)","(0.0003658158176165216,)","(0.00036579110937395853,)","(1.7535919190958538e-05,)","(0.00015294428865800236,)","(0.00015294428865800236,)","(-6.0859604577000355e-05,)","(3.534762165100002e-05,)","(3.534644145399999e-05,)","(-0.00015388342924896325,)","(1.5659242050991562e-05,)","(1.5635714104983434e-05,)","(0.011525810625983013,)","(0.0001618646649887978,)","(0.0001618646649887978,)",0.75,0.75,1.75
"(0.09158123961378806,)","(0.0014399831965477006,)","(0.0014399820283017561,)","(0.0009895263085630268,)","(0.0007500157287600173,)","(0.0007500157287600173,)","(-8.947652367700043e-05,)","(6.783991188100006e-05,)","(6.783961416400013e-05,)","(-0.00021392312799101143,)","(3.9153067823982646e-05,)","(3.9152197528979915e-05,)","(0.09089511295798047,)","(0.0005829744879974896,)","(0.0005829744879974896,)",0.75,1.0,1.0
"(0.04216676043390066,)","(0.0009622669732323175,)","(0.0009623376232639202,)","(0.0005058262543130021,)","(0.00041702855783301573,)","(0.00041702855783301573,)","(-7.734491752200024e-05,)","(5.2772777843000055e-05,)","(5.277597137899994e-05,)","(-0.00023883167359303736,)","(3.51679896599677e-05,)","(3.5235445434961266e-05,)","(0.04197711077102895,)","(0.00045729764801194506,)","(0.00045729764801194506,)",0.75,1.0,1.25
"(0.017701657306560037,)","(0.0005204202190327578,)","(0.0005203091496923662,)","(0.00013679324158100137,)","(0.00020609303109100918,)","(0.00020609303109100918,)","(-6.689031151899984e-05,)","(4.0682326919000335e-05,)","(4.067296966900032e-05,)","(-0.0001877181386730209,)","(2.300635725296929e-05,)","(2.2904645037985505e-05,)","(0.0178194725149865,)","(0.0002506385029903413,)","(0.00025063850401352283,)",0.75,1.0,1.5
"(0.006861929303482839,)","(0.0002607908828906602,)","(0.0002607940099892403,)","(-7.032985203098141e-05,)","(0.00011866507264701731,)","(0.00011866507264701731,)","(-5.359550806400019e-05,)","(2.9777016280999914e-05,)","(2.9780022443000233e-05,)","(-0.00011856161273501864,)","(9.307842477962458e-06,)","(9.30796347797802e-06,)","(0.00710441627597902,)","(0.00010304095098945254,)","(0.00010304095098945254,)",0.75,1.0,1.75
"(0.12070290528976102,)","(0.0016113730479787591,)","(0.0016113792625560563,)","(0.0011765880660870032,)","(0.0008926817148000032,)","(0.000892681714799004,)","(-9.749970276199966e-05,)","(7.474187413199999e-05,)","(7.474209347400028e-05,)","(-0.00017008181862601668,)","(3.977504798899356e-05,)","(3.97810435149859e-05,)","(0.11979389874497315,)","(0.0006041744109950287,)","(0.0006041744100002688,)",0.75,1.25,0.5
"(0.07659170805442272,)","(0.0013279058800890198,)","(0.0013279073933176733,)","(0.0008686959688120055,)","(0.0006628558590170142,)","(0.000662855859016015,)","(-8.579128716600017e-05,)","(6.385328439000026e-05,)","(6.385278391200008e-05,)","(-0.00023027517038601286,)","(3.870991217497233e-05,)","(3.871192618495889e-05,)","(0.07603907854303316,)","(0.0005624868240090564,)","(0.0005624868240090564,)",0.75,1.25,0.75
"(0.042166710159278864,)","(0.0009622652080452099,)","(0.0009622828505939651,)","(0.0005058298521019577,)","(0.000417030273029001,)","(0.000417030273029001,)","(-7.734538687300058e-05,)","(5.277287512300008e-05,)","(5.2775320238999945e-05,)","(-0.00023888507726091412,)","(3.51644115809957e-05,)","(3.517960874799275e-05,)","(0.04197711077102895,)","(0.00045729764801194506,)","(0.00045729764801194506,)",0.75,1.25,1.0
"(0.020620471254289896,)","(0.0005860769222749695,)","(0.0005860520735154751,)","(0.00018788566157601494,)","(0.00023151622768702307,)","(0.00023151622768802227,)","(-6.884016902000039e-05,)","(4.2591060909999943e-05,)","(4.259116616100013e-05,)","(-0.00019908769851503805,)","(2.5489455820953966e-05,)","(2.5464501886951485e-05,)","(0.02070051346001378,)","(0.000286480178004922,)","(0.00028648017701016215,)",0.75,1.25,1.25
"(0.009116592997258977,)","(0.00031180690240262265,)","(0.0003118032549309646,)","(-2.590172559796544e-05,)","(0.00013567614784501525,)","(0.00013567614784501525,)","(-5.775341974200007e-05,)","(3.288006595500003e-05,)","(3.28781043710002e-05,)","(-0.000137946332885025,)","(1.258056439495947e-05,)","(1.2578878334973398e-05,)","(0.00933819447601536,)","(0.0001306701240082475,)","(0.0001306701240082475,)",0.75,1.25,1.5
"(0.0036951660237889428,)","(0.00020783803549306867,)","(0.00020786825029972533,)","(-0.00012829168181699435,)","(9.397890900200712e-05,)","(9.397890900300632e-05,)","(-4.4548912463999914e-05,)","(2.3772301491000163e-05,)","(2.3774633477999935e-05,)","(-8.342483480699991e-05,)","(5.6353069769754516e-06,)","(5.6631895029857215e-06,)","(0.003951431453003806,)","(8.445151800628992e-05,)","(8.445151800628992e-05,)",0.75,1.25,1.75
"(0.0590025222489885,)","(0.001165105053729576,)","(0.0011650823483648765,)","(0.0007005232992630117,)","(0.0005458603889350044,)","(0.0005458603889340052,)","(-8.163217075900014e-05,)","(5.862518814700023e-05,)","(5.862456211500012e-05,)","(-0.0002413487187440111,)","(3.762882911897969e-05,)","(3.7606749780982884e-05,)","(0.05862497983900994,)","(0.0005229906469992329,)","(0.0005229906469992329,)",0.75,1.5,0.25
"(0.0458071673286895,)","(0.0010112250626264085,)","(0.0010112274174218783,)","(0.0005512343958420374,)","(0.0004463213406700195,)","(0.0004463213406700195,)","(-7.834371442100047e-05,)","(5.4135798547000086e-05,)","(5.413585993699994e-05,)","(-0.0002408690271120395,)","(3.591800728297567e-05,)","(3.592030056495665e-05,)","(0.045575145675002204,)","(0.0004748499160029951,)","(0.0004748499160029951,)",0.75,1.5,0.5
"(0.030491848340858496,)","(0.0007798981917801484,)","(0.0007798829693683729,)","(0.0003452627387940388,)","(0.0003183239068130228,)","(0.0003183239068130228,)","(-7.355141326300003e-05,)","(4.785677078500026e-05,)","(4.78571954190001e-05,)","(-0.00022475010598504985,)","(3.1437319153976295e-05,)","(3.142167207195734e-05,)","(0.030444887121973352,)","(0.00038228019499797483,)","(0.00038228019499797483,)",0.75,1.5,0.75
"(0.017701588000164747,)","(0.0005203436251974836,)","(0.0005203203816108726,)","(0.00013679070712496744,)","(0.00020609188386500055,)","(0.00020609188386500055,)","(-6.689925949900002e-05,)","(4.067359292100024e-05,)","(4.067241496400007e-05,)","(-0.00018777598190397593,)","(2.2939644563985118e-05,)","(2.2917579453995973e-05,)","(0.017819472534995384,)","(0.00025063850401352283,)","(0.0002506385029903413,)",0.75,1.5,1.0
"(0.009116615686195928,)","(0.00031179167882555703,)","(0.00031185247650000747,)","(-2.590162546500796e-05,)","(0.0001356762448650184,)","(0.0001356762448650184,)","(-5.775531852500069e-05,)","(3.287862628500006e-05,)","(3.2877934324999913e-05,)","(-0.0001379218131499771,)","(1.256668358495805e-05,)","(1.2628173118978125e-05,)","(0.009338194444012515,)","(0.0001306701240082475,)","(0.0001306701240082475,)",0.75,1.5,1.25
"(0.00423085382010413,)","(0.00021450316063464925,)","(0.00021448929032885644,)","(-0.00011939937841898285,)","(9.845895841700814e-05,)","(9.845895841700814e-05,)","(-4.649223997200058e-05,)","(2.497656781799999e-05,)","(2.497359883399993e-05,)","(-9.020944083401594e-05,)","(6.060383411971015e-06,)","(6.049481953984692e-06,)","(0.004486954879951099,)","(8.50072509877009e-05,)","(8.50072509877009e-05,)",0.75,1.5,1.5
"(0.0017840199690226655,)","(0.00018973753691398088,)","(0.0001897191339139681,)","(-0.00015119689413101156,)","(7.493880355499694e-05,)","(7.493880355499694e-05,)","(-3.490097924899963e-05,)","(1.8678086452999978e-05,)","(1.8676094698000332e-05,)","(-5.459881425698421e-05,)","(6.060990347001027e-06,)","(6.04457911398959e-06,)","(0.002024716656023884,)","(9.005965600294985e-05,)","(9.005965600294985e-05,)",0.75,1.5,1.75
"(0.020620508872241317,)","(0.0005860710537319846,)","(0.0005860753007880248,)","(0.00018788277178599655,)","(0.00023151501404999886,)","(0.00023151501405099806,)","(-6.883371917599992e-05,)","(4.259308788700025e-05,)","(4.259344523000006e-05,)","(-0.00019905364089597977,)","(2.548277399599952e-05,)","(2.5486663681989485e-05,)","(0.020700513460042202,)","(0.00028648017701016215,)","(0.00028648017701016215,)",0.75,1.75,0.25
"(0.0164134037398469,)","(0.0004901395829506328,)","(0.0004901382103241758,)","(0.00011352519640001058,)","(0.00019502846086802417,)","(0.00019502846086802417,)","(-6.59118655110002e-05,)","(3.974665150900019e-05,)","(3.974618411100011e-05,)","(-0.00018200993187303394,)","(2.1673209501971158e-05,)","(2.1672304259950925e-05,)","(0.016547800341015773,)","(0.0002336912610019226,)","(0.0002336912610019226,)",0.75,1.75,0.5
"(0.011328639896134973,)","(0.00036581593590767625,)","(0.00036582810875529503,)","(1.7535249718980683e-05,)","(0.00015294427719700354,)","(0.00015294427719700354,)","(-6.085862674399959e-05,)","(3.534873030000031e-05,)","(3.5347848567999964e-05,)","(-0.00015384736722398595,)","(1.5658263548989915e-05,)","(1.5671318079973906e-05,)","(0.011525810640989675,)","(0.0001618646649887978,)","(0.0001618646649887978,)",0.75,1.75,0.75
"(0.006861903951886461,)","(0.0002607831741272548,)","(0.0002607735839887937,)","(-7.033036098996748e-05,)","(0.00011866516070402344,)","(0.00011866516064201749,)","(-5.359811927299965e-05,)","(2.97773529850001e-05,)","(2.9776972048000273e-05,)","(-0.00011858391587801775,)","(9.29970875795938e-06,)","(9.290428097968872e-06,)","(0.007104416347999631,)","(0.00010304095098945254,)","(0.00010304102301006424,)",0.75,1.75,1.0
"(0.0036951932961528655,)","(0.00020786045959653165,)","(0.00020786452424204072,)","(-0.00012829134252001495,)","(9.397862372700905e-05,)","(9.397862372700905e-05,)","(-4.4545927532999626e-05,)","(2.3773609130000282e-05,)","(2.3773693559000098e-05,)","(-8.340088790298461e-05,)","(5.656708372991925e-06,)","(5.660688524977697e-06,)","(0.003951431454026988,)","(8.445151800628992e-05,)","(8.445151800628992e-05,)",0.75,1.75,1.25
"(0.0017840234213508666,)","(0.0001897282625122898,)","(0.00018973262905319643,)","(-0.00015119714537098483,)","(7.49387811440072e-05,)","(7.49387811440072e-05,)","(-3.490073072600014e-05,)","(1.8676399680000056e-05,)","(1.867806881900025e-05,)","(-5.4595359693043743e-05,)","(6.053425113977662e-06,)","(6.05612254697685e-06,)","(0.002024716656990222,)","(9.005965600294985e-05,)","(9.005965600294985e-05,)",0.75,1.75,1.5
"(0.0007642624557320232,)","(0.00016557353245616468,)","(0.00016557121494997773,)","(-0.0001479140562569703,)","(6.183005115201201e-05,)","(6.183005115201201e-05,)","(-2.611461428000039e-05,)","(1.5516824674000236e-05,)","(1.551674082500001e-05,)","(-3.412658131202173e-05,)","(8.106144582964436e-06,)","(8.103910940970849e-06,)","(0.0009724177079988294,)","(8.01205119955739e-05,)","(8.01205119955739e-05,)",0.75,1.75,1.75
"(0.0837095092764173,)","(0.0013836733704408744,)","(0.0013836729231115896,)","(0.0009284034356599746,)","(0.0007055668868110043,)","(0.0007055668868110043,)","(-8.750932144100006e-05,)","(6.579250193400029e-05,)","(6.579267436300018e-05,)","(-0.00022311403057898027,)","(3.895673015899548e-05,)","(3.895611028698065e-05,)","(0.08309172919200591,)","(0.0005733572509996065,)","(0.0005733572509996065,)",1.0,0.25,1.25
"(0.03303260029392163,)","(0.0008233298025857039,)","(0.000823354518644237,)","(0.0003823360698330114,)","(0.0003403414126010029,)","(0.0003403414126010029,)","(-7.448476542999986e-05,)","(4.901476406800028e-05,)","(4.901517101400018e-05,)","(-0.00022907215682302362,)","(3.2440706089986726e-05,)","(3.246501502598975e-05,)","(0.032953821146975315,)","(0.00040153291999445173,)","(0.00040153291999445173,)",1.0,0.25,1.5
"(0.012189658637083767,)","(0.0003871578460064029,)","(0.0003871294450163987,)","(3.4222679442974524e-05,)","(0.00015985065609000482,)","(0.00015985065609000482,)","(-6.188538156200055e-05,)","(3.619809057999997e-05,)","(3.619644114100009e-05,)","(-0.00015936926156195907,)","(1.6791229193985346e-05,)","(1.6764477188985216e-05,)","(0.012376690601001883,)","(0.00017431787000532495,)","(0.00017431787000532495,)",1.0,0.25,1.75
"(0.1459472721398356,)","(0.0017274432238991722,)","(0.0017274386266876718,)","(0.0012962344322159924,)","(0.0009941319362150036,)","(0.0009941319362160028,)","(-0.00010560696721100037,)","(8.007188803500027e-05,)","(8.007022271599995e-05,)","(-0.00012323517913598314,)","(4.042369763598841e-05,)","(4.042076608898326e-05,)","(0.14487987985401674,)","(0.0006128157019986702,)","(0.0006128157010039104,)",1.0,0.5,1.0
"(0.06430519808282043,)","(0.001218520508302845,)","(0.001218524781108954,)","(0.0007545861717400126,)","(0.0005829491910820106,)","(0.0005829491910820106,)","(-8.288917780200017e-05,)","(6.027752507700018e-05,)","(6.027734218000012e-05,)","(-0.0002391399969569885,)","(3.806503871697786e-05,)","(3.8069494198988973e-05,)","(0.06387264108496993,)","(0.0005372287529894493,)","(0.0005372287529894493,)",1.0,0.5,1.25
"(0.02603013899673101,)","(0.0006976103624083407,)","(0.0006975004699540932,)","(0.0002769030811820006,)","(0.00027918703443702286,)","(0.00027918703443802206,)","(-7.16753903030002e-05,)","(4.5663937664000304e-05,)","(4.5657921677000075e-05,)","(-0.0002150695476010045,)","(2.926385618395866e-05,)","(2.9159979709952877e-05,)","(0.02603998085396597,)","(0.0003434955339969292,)","(0.0003434955339969292,)",1.0,0.5,1.5
"(0.009797186652804157,)","(0.0003281843131901496,)","(0.00032818983939364443,)","(-1.2471863863994237e-05,)","(0.0001409172174940132,)","(0.0001409172174940132,)","(-5.8795461150999706e-05,)","(3.3688554351000034e-05,)","(3.3688078325000165e-05,)","(-0.00014315220630900516,)","(1.3541147773965534e-05,)","(1.354715025697617e-05,)","(0.010011606184036737,)","(0.0001400373930096066,)","(0.0001400373930096066,)",1.0,0.5,1.75
"(0.09158122616472042,)","(0.0014399733609877785,)","(0.0014399775005813353,)","(0.0009895262275769756,)","(0.000750015688118999,)","(0.000750015688118999,)","(-8.947708996499999e-05,)","(6.783949512100028e-05,)","(6.783940952400031e-05,)","(-0.00021393587463394703,)","(3.91436901529818e-05,)","(3.914791511699933e-05,)","(0.09089511290102337,)","(0.0005829744870027298,)","(0.0005829744870027298,)",1.0,0.75,1.0
"(0.04216668189383199,)","(0.0009622559668969188,)","(0.0009622674994602676,)","(0.0005058262543159997,)","(0.00041702855783401493,)","(0.00041702855783401493,)","(-7.734786519599966e-05,)","(5.2772368892000255e-05,)","(5.2772870648000285e-05,)","(-0.00023890726600497847,)","(3.5157392154983036e-05,)","(3.516842236997442e-05,)","(0.04197711077102895,)","(0.00045729764801194506,)","(0.00045729764801194506,)",1.0,0.75,1.25
"(0.01770163172506045,)","(0.0005203488018423741,)","(0.0005203426462117022,)","(0.00013679324158000217,)","(0.00020609303109000998,)","(0.00020609303109000998,)","(-6.68936802129998e-05,)","(4.067364987800012e-05,)","(4.067552023200027e-05,)","(-0.00018774035106802756,)","(2.2943617174975284e-05,)","(2.293559117397259e-05,)","(0.01781947251396332,)","(0.0002506385029903413,)","(0.0002506385029903413,)",1.0,0.75,1.5
"(0.006861901191598463,)","(0.0002607861948149548,)","(0.00026078373326754445,)","(-7.032985203198061e-05,)","(0.00011866507264701731,)","(0.00011866507264701731,)","(-5.3596858865000326e-05,)","(2.9776857303999947e-05,)","(2.9778445300000268e-05,)","(-0.00011858837357103802,)","(9.30331361798098e-06,)","(9.299263704964922e-06,)","(0.00710441627597902,)","(0.00010304095098945254,)","(0.00010304095098945254,)",1.0,0.75,1.75
"(0.1459473359905985,)","(0.0017274434020180252,)","(0.001727428995820901,)","(0.0012962341502189556,)","(0.0009941317901610014,)","(0.0009941317901610014,)","(-0.0001056052256609998,)","(8.007197330200033e-05,)","(8.006970624100003e-05,)","(-0.00012317278850298985,)","(4.042393704098424e-05,)","(4.041179745797874e-05,)","(0.14487987985498307,)","(0.0006128157010039104,)","(0.0006128157019986702,)",1.0,1.0,0.5
"(0.0915812785776211,)","(0.0014400116884587533,)","(0.001440003946612478,)","(0.000989527347473984,)","(0.0007500160349259988,)","(0.0007500160349259988,)","(-8.947531986300012e-05,)","(6.784088024600022e-05,)","(6.7840321968e-05,)","(-0.0002138863514549727,)","(3.918028541299856e-05,)","(3.9173101768985585e-05,)","(0.0908951129019897,)","(0.0005829744879974896,)","(0.0005829744879974896,)",1.0,1.0,0.75
"(0.04980000678423835,)","(0.0010613886700241437,)","(0.0010614371124120225,)","(0.0005988198329260341,)","(0.00047754573897501595,)","(0.00047754573897501595,)","(-7.937817350399997e-05,)","(5.556202523600024e-05,)","(5.556361367200016e-05,)","(-0.00024198489354304575,)","(3.6568637653972e-05,)","(3.6615491940977796e-05,)","(0.04952255001799699,)","(0.0004917122680012653,)","(0.0004917122670065055,)",1.0,1.0,1.0
"(0.024071643169151002,)","(0.0006586848315635052,)","(0.0006586775965615743,)","(0.00024549524999301076,)","(0.00026191087107202415,)","(0.00026191087107202415,)","(-7.074219293899979e-05,)","(4.4605601678000036e-05,)","(4.4604915786000156e-05,)","(-0.00021001365884601442,)","(2.795621194295883e-05,)","(2.7949663577969686e-05,)","(0.024106903772036503,)","(0.0003242121470066195,)","(0.00032421214601185966,)",1.0,1.0,1.25
"(0.010532899064060075,)","(0.00034617319283825054,)","(0.00034616662031794476,)","(1.9892578880242873e-06,)","(0.00014665383052100966,)","(0.00014665383052100966,)","(-5.982809460299953e-05,)","(3.45111662710001e-05,)","(3.451160475800028e-05,)","(-0.00014847116856103737,)","(1.4573627251990295e-05,)","(1.4566615993971688e-05,)","(0.010739209069043909,)","(0.00015043456801322463,)","(0.00015043456900798446,)",1.0,1.0,1.5
"(0.0042308208128361,)","(0.00021450470345030226,)","(0.00021448285255587507,)","(-0.0001193983310419644,)","(9.845922836301813e-05,)","(9.845922829002096e-05,)","(-4.6491600221999774e-05,)","(2.4976603831000296e-05,)","(2.497349996500014e-05,)","(-9.024415472105862e-05,)","(6.061620378972066e-06,)","(6.0428015369595744e-06,)","(0.0044869548990220665,)","(8.50072509877009e-05,)","(8.500732201355277e-05,)",1.0,1.0,1.75
"(0.08370944503656119,)","(0.00138366744354812,)","(0.0013836416646597627,)","(0.0009284036894749992,)","(0.0007055670244379975,)","(0.0007055670244379975,)","(-8.751123617599995e-05,)","(6.579271963700001e-05,)","(6.578977543900003e-05,)","(-0.00022317660909401682,)","(3.8950448427998996e-05,)","(3.89276134879768e-05,)","(0.08309172919297225,)","(0.0005733572509996065,)","(0.0005733572509996065,)",1.0,1.25,0.25
"(0.06430522193056731,)","(0.0012185456158704255,)","(0.001218525568503992,)","(0.0007545867778899762,)","(0.0005829494715640093,)","(0.0005829494715640093,)","(-8.288544821300056e-05,)","(6.028041001999995e-05,)","(6.027824205300002e-05,)","(-0.00023912045264795623,)","(3.808698111298914e-05,)","(3.8069101076981804e-05,)","(0.06387264105296708,)","(0.0005372287529894493,)","(0.0005372287529894493,)",1.0,1.25,0.5
"(0.04216678759132719,)","(0.0009622677672780355,)","(0.0009623603101829303,)","(0.0005058277745209616,)","(0.00041702930831399865,)","(0.00041702930831399865,)","(-7.734145025099955e-05,)","(5.277299911300021e-05,)","(5.2779208511000326e-05,)","(-0.00023880950550494995,)","(3.5167810465974725e-05,)","(3.5254144618995786e-05,)","(0.04197711077202371,)","(0.0004572976490067049,)","(0.00045729764801194506,)",1.0,1.25,0.75
"(0.024071670496823572,)","(0.0006586914113313469,)","(0.0006586933557173325,)","(0.0002454936331339752,)","(0.0002619101292100079,)","(0.0002619101292110071,)","(-7.074301305500007e-05,)","(4.460586443900006e-05,)","(4.4607909180000276e-05,)","(-0.00020998385483894655,)","(2.7963271772984966e-05,)","(2.7963171138983833e-05,)","(0.024106903732047158,)","(0.00032421214601185966,)","(0.00032421214601185966,)",1.0,1.25,1.0
"(0.012189690456040125,)","(0.00038717531555221285,)","(0.00038715859116678075,)","(3.422267578395699e-05,)","(0.00015985076319299796,)","(0.00015985076319299796,)","(-6.188219759499991e-05,)","(3.6198615899000076e-05,)","(3.619816424599992e-05,)","(-0.00015934062426692375,)","(1.680806567200266e-05,)","(1.679179309799217e-05,)","(0.012376690601001883,)","(0.00017431787000532495,)","(0.00017431787000532495,)",1.0,1.25,1.25
"(0.005566392813022958,)","(0.00023551205649141593,)","(0.0002354890246749619,)","(-9.522802792999441e-05,)","(0.00010892152703700919,)","(0.00010892152703600999,)","(-5.050796587199955e-05,)","(2.7614947601000295e-05,)","(2.761182704600013e-05,)","(-0.00010554450405100835,)","(7.540125587984781e-06,)","(7.5202139309671345e-06,)","(0.00581767331101446,)","(9.14354559995445e-05,)","(9.14354559995445e-05,)",1.0,1.25,1.5
"(0.002318804233169658,)","(0.00019488896467123595,)","(0.00019489354417601135,)","(-0.00014691748539502614,)","(8.093122374699946e-05,)","(8.093122374699946e-05,)","(-3.8183272583000236e-05,)","(2.023403848200019e-05,)","(2.023424271100022e-05,)","(-6.353152776697457e-05,)","(5.549231571977398e-06,)","(5.553607056979493e-06,)","(0.002567436519001376,)","(8.81744709886334e-05,)","(8.817446999387357e-05,)",1.0,1.25,1.75
"(0.03303256940992583,)","(0.0008233314896983757,)","(0.0008233174131362375,)","(0.00038233508737900435,)","(0.00034034104176799973,)","(0.00034034104176799973,)","(-7.449049510600001e-05,)","(4.901456701100022e-05,)","(4.901420111000018e-05,)","(-0.00022909632877898822,)","(3.244296135399005e-05,)","(3.2429250435977997e-05,)","(0.03295382114700374,)","(0.0004015329189996919,)","(0.00040153291999445173,)",1.0,1.5,0.25
"(0.02603004857260771,)","(0.0006975144121383892,)","(0.0006975056474800567,)","(0.0002769025640469991,)","(0.0002791870155210152,)","(0.0002791870155210152,)","(-7.168008977500055e-05,)","(4.565567610999993e-05,)","(4.5657933104000046e-05,)","(-0.000215154753541974,)","(2.9176187111984442e-05,)","(2.916516545198311e-05,)","(0.026039980851976452,)","(0.0003434955330021694,)","(0.0003434955330021694,)",1.0,1.5,0.5
"(0.017701604111266533,)","(0.0005203423577313515,)","(0.0005203355084404393,)","(0.0001367893850120483,)","(0.00020609169135202277,)","(0.00020609169135102356,)","(-6.689670293200025e-05,)","(4.0674688667000254e-05,)","(4.0674092731000054e-05,)","(-0.00018776108402804303,)","(2.2937474238954314e-05,)","(2.2931220699962118e-05,)","(0.01781947251299698,)","(0.0002506385029903413,)","(0.0002506385029903413,)",1.0,1.5,0.75
"(0.0105329236383227,)","(0.0003461759850154067,)","(0.00034618563333310703,)","(1.989261041002166e-06,)","(0.0001466539277500123,)","(0.0001466539277510115,)","(-5.983021778899981e-05,)","(3.451236826000018e-05,)","(3.4511622370000244e-05,)","(-0.00014844440510700108,)","(1.457511982197457e-05,)","(1.4585514109988207e-05,)","(0.010739209001030758,)","(0.00015043456900798446,)","(0.00015043456900798446,)",1.0,1.5,1.0
"(0.005566369540161986,)","(0.00023550810931283195,)","(0.00023549719330162588,)","(-9.522920728199935e-05,)","(0.00010892122708799912,)","(0.00010892122708699992,)","(-5.050916692400003e-05,)","(2.761492828100027e-05,)","(2.7612247169999955e-05,)","(-0.00010556545367901293,)","(7.536497093979522e-06,)","(7.528262211980996e-06,)","(0.005817673368994747,)","(9.143545699430433e-05,)","(9.143545699430433e-05,)",1.0,1.5,1.25
"(0.0026461816306095898,)","(0.00019766015040545426,)","(0.00019767238805457055,)","(-0.00014326510968498685,)","(8.430264769901386e-05,)","(8.430264761902229e-05,)","(-3.992103925800055e-05,)","(2.1139444784999944e-05,)","(2.113834040300003e-05,)","(-6.859053503502355e-05,)","(5.413307096968634e-06,)","(5.426577317974024e-06,)","(0.002897958314974858,)","(8.680475099254181e-05,)","(8.680482198997197e-05,)",1.0,1.5,1.5
"(0.0011311801384579212,)","(0.00017849885790610642,)","(0.00017849297486804971,)","(-0.00015177045513203868,)","(6.672880614599919e-05,)","(6.672880614499999e-05,)","(-2.9821980914999588e-05,)","(1.666939042000012e-05,)","(1.6667546734000244e-05,)","(-4.220180057393219e-05,)","(7.237844184992959e-06,)","(7.233804903999941e-06,)","(0.0013549743749763365,)","(8.786281699713072e-05,)","(8.786281699713072e-05,)",1.0,1.5,1.75
"(0.012189646442749336,)","(0.0003871583650152388,)","(0.0003871263623125287,)","(3.422169113198592e-05,)","(0.000159850437879,)","(0.000159850437879,)","(-6.18825613150002e-05,)","(3.619980713100027e-05,)","(3.619690239100009e-05,)","(-0.00015938327687098353,)","(1.679024939899021e-05,)","(1.6761151407973518e-05,)","(0.012376690589007922,)","(0.00017431787000532495,)","(0.00017431787000532495,)",1.0,1.75,0.25
"(0.009797124613953656,)","(0.0003281894320537049,)","(0.0003281957614547082,)","(-1.2472327028001384e-05,)","(0.00014091713730801647,)","(0.00014091713730801647,)","(-5.880153134699964e-05,)","(3.3688663908000224e-05,)","(3.368863109800028e-05,)","(-0.00014320771318002135,)","(1.3546237624978419e-05,)","(1.355260014196391e-05,)","(0.010011606186026256,)","(0.0001400373930096066,)","(0.0001400373930096066,)",1.0,1.75,0.5
"(0.006861897247773641,)","(0.00026078693068143366,)","(0.00026078154678543797,)","(-7.032993893002493e-05,)","(0.00011866515787800624,)","(0.00011866515787800624,)","(-5.359913983799978e-05,)","(2.9777330484000337e-05,)","(2.9776841720000145e-05,)","(-0.00011858994912797294,)","(9.3034907649725e-06,)","(9.298595565976342e-06,)","(0.007104416274955838,)","(0.00010304095098945254,)","(0.00010304095098945254,)",1.0,1.75,0.75
"(0.0042308329543345735,)","(0.00021450153161595154,)","(0.00021450505957432142,)","(-0.00011939852853398714,)","(9.845890177700989e-05,)","(9.845890177700989e-05,)","(-4.649109606699991e-05,)","(2.4975083685999967e-05,)","(2.4976095403000075e-05,)","(-9.023224907001026e-05,)","(6.060295441978614e-06,)","(6.0628111229754644e-06,)","(0.004486954827967793,)","(8.500724999294107e-05,)","(8.50072509877009e-05,)",1.0,1.75,1.0
"(0.0023187988454367314,)","(0.00019488982863435922,)","(0.00019488632187858457,)","(-0.00014691734303401427,)","(8.093116500901276e-05,)","(8.093116500901276e-05,)","(-3.8179416209999355e-05,)","(2.0235585644000267e-05,)","(2.023411621300021e-05,)","(-6.354093502999869e-05,)","(5.548607444977316e-06,)","(5.5465703399648625e-06,)","(0.002567436540005019,)","(8.817446999387357e-05,)","(8.817446999387357e-05,)",1.0,1.75,1.25
