Total_energy_Delta_E_AB_AB,Total_energy_BSSE_A,Total_energy_BSSE_B,MP2_correlation_energy_Delta_E_AB_AB,MP2_correlation_energy_BSSE_A,MP2_correlation_energy_BSSE_B,(T)_correlation_energy_Delta_E_AB_AB,(T)_correlation_energy_BSSE_A,(T)_correlation_energy_BSSE_B,CCSD corr.energy_Delta_E_AB_AB,CCSD corr.energy_BSSE_A,CCSD corr.energy_BSSE_B,SCF_energy_Delta_E_AB_AB,SCF_energy_BSSE_A,SCF_energy_BSSE_B,x,y,z
"(0.009467965352072838,)","(0.0009504751305797754,)","(0.0012682537648913694,)","(-0.0035188040363479667,)","(0.0005915303609849987,)","(0.0008093270250059958,)","(-0.0006225201510389996,)","(9.486669711999962e-05,)","(0.00012397436819100004,)","(0.0005591536485819726,)","(-3.691026211199988e-05,)","(-4.5411249200016934e-05,)","(0.013050135891006676,)","(0.0003009883349989195,)","(0.00038036362099092,)",1.25,1.5,1.5
"(0.004439217662124406,)","(0.0007201684727959901,)","(0.000878176049383228,)","(-0.002579389311102992,)","(0.0004479135663340017,)","(0.0005542499282789881,)","(-0.0004771048949490011,)","(7.73505710799996e-05,)","(9.12361132259995e-05,)","(0.0002916576005950189,)","(-2.6590839938001043e-05,)","(-2.9325980830996468e-05,)","(0.007204054268015625,)","(0.000221495174997699,)","(0.0002620159889943352,)",1.25,1.5,1.75
"(0.06294462881648144,)","(0.0019949404657495506,)","(0.002864031590164018,)","(-0.006472692175207045,)","(0.0013400710032169805,)","(0.0019011319106339852,)","(-0.000992721108754,)","(0.0001558944890889995,)","(0.00021259613170700013,)","(0.0022951271186530398,)","(-9.225751538699534e-05,)","(-7.31289566019977e-05,)","(0.0681149149820186,)","(0.0005912324890005038,)","(0.0008234325039921941,)",1.25,1.75,0.25
"(0.04725984254132243,)","(0.0017538259197209527,)","(0.0026351672710518415,)","(-0.006088642846281023,)","(0.001202054639299982,)","(0.0017507387749479963,)","(-0.0009465841513239997,)","(0.00014771091200800005,)","(0.00020758558326799958,)","(0.001966258555344047,)","(-8.364427908799654e-05,)","(-7.433319378799541e-05,)","(0.05232881098299913,)","(0.00048770464699998683,)","(0.0007511761069878276,)",1.25,1.75,0.5
"(0.03040233013196314,)","(0.0014744090689049472,)","(0.002251970249403712,)","(-0.005473739330557004,)","(0.0010117918124250003,)","(0.001513786360060998,)","(-0.0008725799964419984,)","(0.0001331913488330002,)","(0.00019117506503900025,)","(0.0015370887832610314,)","(-6.86956316330034e-05,)","(-8.201768806800902e-05,)","(0.03521156067498055,)","(0.00039812153899276836,)","(0.0006290265119872629,)",1.25,1.75,0.75
"(0.01718179280005927,)","(0.0012275789075744115,)","(0.0017971003859429402,)","(-0.004650481720086003,)","(0.0008209554105229888,)","(0.0012089927304029802,)","(-0.0007680742063089999,)","(0.00011580960037999976,)","(0.00016395208907300004,)","(0.001094653749406982,)","(-5.262362771799034e-05,)","(-7.55401512120002e-05,)","(0.021505694976994505,)","(0.000343437523994794,)","(0.0004996957179912442,)",1.25,1.75,1.0
"(0.008605880636096686,)","(0.0010025806573565887,)","(0.0013505476606496813,)","(-0.0037364162972579884,)","(0.0006505009801769934,)","(0.0008772675763059901,)","(-0.0006416488998989989,)","(9.865135449600021e-05,)","(0.00012994552827200016,)","(0.0007119539056929802,)","(-3.940246405401138e-05,)","(-5.257789940099622e-05,)","(0.01227199192699402,)","(0.00029283078698938425,)","(0.00039591245499082106,)",1.25,1.75,1.25
"(0.0037582298199652087,)","(0.0007964840152396846,)","(0.0009751771217736405,)","(-0.0028788799513219665,)","(0.0005079745102199995,)","(0.0006134460696219923,)","(-0.0005122588567639998,)","(8.312797812800015e-05,)","(9.829047234299979e-05,)","(0.000428973185166992,)","(-2.930418880500718e-05,)","(-3.381994408399591e-05,)","(0.0067203954430112844,)","(0.00023468571599494226,)","(0.0002972605239932591,)",1.25,1.75,1.5
"(0.0013466802879804618,)","(0.0006290803950861346,)","(0.0006985285375691319,)","(-0.0021679625330819907,)","(0.0003993760756939857,)","(0.0004477145893339862,)","(-0.0003961232107079996,)","(6.931955786699997e-05,)","(7.444053089899951e-05,)","(0.0002453724318999817,)","(-2.1466812497983323e-05,)","(-2.4877708877990568e-05,)","(0.0036653936000163867,)","(0.000181851573998415,)","(0.00020125112600055672,)",1.25,1.75,1.75
"(0.043833652568253,)","(0.0013205230327173467,)","(0.0017378431303143316,)","(-0.004409244812713986,)","(0.0009363608670669987,)","(0.0011406617614619918,)","(-0.0007845897875440001,)","(0.00014006556983799968,)","(0.000159311373441,)","(0.0003117231998749914,)","(-7.28690334890203e-05,)","(-6.335669015000711e-05,)","(0.04871576396899968,)","(0.000316965628996968,)","(0.0005012266859978354,)",1.5,0.25,1.5
"(0.023202129796644044,)","(0.0009579573675324582,)","(0.001232172055324554,)","(-0.002961806851334986,)","(0.0006340765089039857,)","(0.0007970424195359871,)","(-0.0005877949036950008,)","(0.00010165502493400015,)","(0.00011891006957899953,)","(3.788368465698633e-05,)","(-4.878133332600343e-05,)","(-4.3825365301009e-05,)","(0.026713847867014806,)","(0.0002710071670009029,)","(0.0003600449309999476,)",1.5,0.25,1.75
"(0.06736665532842778,)","(0.0016953478200463223,)","(0.002403883597935419,)","(-0.006255707510830988,)","(0.0012170263744319954,)","(0.0016445445698780037,)","(-0.0010105558203509996,)","(0.0001709565521020003,)","(0.00021183014248399995,)","(0.0009737214381830006,)","(-9.17584076600142e-05,)","(-9.58288440240096e-05,)","(0.07365919722199976,)","(0.00039912330099411975,)","(0.0006433377299970289,)",1.5,0.5,1.25
"(0.036773441902866466,)","(0.0012708085813954995,)","(0.0017437041786081409,)","(-0.00423632071480598,)","(0.000875735615665979,)","(0.0011312857907470053,)","(-0.0007601053048850006,)","(0.00013229791712099977,)","(0.0001603349650849996,)","(0.00038886576507096704,)","(-6.699177111599286e-05,)","(-6.327991965301982e-05,)","(0.041381002156995805,)","(0.0003297668199877535,)","(0.0005153633419894277,)",1.5,0.5,1.5
"(0.019414522341207885,)","(0.0009198687231304348,)","(0.0012137999870418525,)","(-0.002885498677485998,)","(0.000597926695383999,)","(0.0007695027999159998,)","(-0.0005715265760190009,)","(9.746164684799972e-05,)","(0.00011835282404099989,)","(9.442917123703154e-05,)","(-4.479226900300226e-05,)","(-4.072862143600364e-05,)","(0.02277711842400265,)","(0.0002692726499873288,)","(0.00036667298499537537,)",1.5,0.5,1.75
"(0.04990256500988721,)","(0.0015630134857502753,)","(0.002340800963040124,)","(-0.005592148947020953,)","(0.001075921440226002,)","(0.001595024930057004,)","(-0.0009268784450390003,)","(0.0001532175454719998,)","(0.0002072849357929998,)","(0.0010074448924819457,)","(-7.970021066799893e-05,)","(-9.380885378601489e-05,)","(0.05541414751000673,)","(0.0004135747109899057,)","(0.0006322999509933425,)",1.5,0.75,1.25
"(0.02713710313184947,)","(0.0011675868282594593,)","(0.001685812803472686,)","(-0.003934070650773003,)","(0.0007769772906549843,)","(0.001077105558457997,)","(-0.0007143032335540003,)","(0.0001200463088359997,)","(0.00015610328255799989,)","(0.0004541229403860203,)","(-5.731503991598941e-05,)","(-5.9658435742016014e-05,)","(0.03133135407600207,)","(0.0003278782689903892,)","(0.0005122623979900709,)",1.5,0.75,1.5
"(0.01422714211685161,)","(0.0008503343265857666,)","(0.001154694651361865,)","(-0.002742086805015004,)","(0.0005423970415809887,)","(0.0007202088683409824,)","(-0.0005411258821549992,)","(9.071220276599991e-05,)","(0.00011414516954499996,)","(0.0001564495683570033,)","(-3.880268024200606e-05,)","(-3.7008293390983216e-05,)","(0.017353905234983813,)","(0.00025602776199207256,)","(0.0003573489069879088,)",1.5,0.75,1.75
"(0.05656990270200879,)","(0.001752323072437889,)","(0.002781490005077103,)","(-0.006187735302352976,)","(0.001187138362854001,)","(0.0019538014597839937,)","(-0.000991913604499,)","(0.00015959804920800003,)","(0.00023743903430899996,)","(0.0016287127856069727,)","(-8.59195588260031e-05,)","(-0.00010105298070700597,)","(0.062120838822991686,)","(0.0004915062189922992,)","(0.0006913024920010002,)",1.5,1.0,1.0
"(0.03230577188651296,)","(0.0013683958136425645,)","(0.0021319799354273528,)","(-0.004826300472374007,)","(0.0009039201707399802,)","(0.0014405581027329972,)","(-0.000823944410482,)","(0.00013196311527199998,)","(0.00019182114077600024,)","(0.0009507246050380336,)","(-6.408824050799233e-05,)","(-8.463680897399795e-05,)","(0.03700529216399673,)","(0.000396600767999189,)","(0.0005842375009876832,)",1.5,1.0,1.25
"(0.0173199752761235,)","(0.0010288486906517846,)","(0.0015304178177046879,)","(-0.0035332030182760044,)","(0.0006638553253799917,)","(0.0009663583791759967,)","(-0.0006493767377389994,)","(0.00010572927357700018,)","(0.00014400610997800014,)","(0.00047432935444602364,)","(-4.617784364299715e-05,)","(-5.24292369530055e-05,)","(0.021028225677000023,)","(0.0003054419349979298,)","(0.000472482564987331,)",1.5,1.0,1.5
"(0.008886999942816942,)","(0.0007631123096700776,)","(0.0010473915171047565,)","(-0.0025320567421590334,)","(0.0004808952293909874,)","(0.0006519035447709876,)","(-0.0004964201817629996,)","(8.255939266900002e-05,)","(0.00010551180418900009,)","(0.00020141647287902353,)","(-3.232787063101039e-05,)","(-3.327758652499346e-05,)","(0.011714060393998693,)","(0.00023198555798842335,)","(0.0003232537549990866,)",1.5,1.0,1.75
"(0.08089003555133445,)","(0.002209864977587017,)","(0.003534603608940756,)","(-0.006048548895808026,)","(0.001467746565974981,)","(0.002421448678954996,)","(-0.0009797692630760003,)","(0.00017384024964000027,)","(0.00026608081564599966,)","(0.0024412911430610196,)","(-0.00010348775445598313,)","(-7.628695697800558e-05,)","(0.0854770625659853,)","(0.0006717659159960476,)","(0.0009233610709884488,)",1.5,1.25,0.5
"(0.053917678456500084,)","(0.001820799656741201,)","(0.002931558839222248,)","(-0.005807762975707981,)","(0.001218684056145003,)","(0.002020022900565993,)","(-0.0009379948951110002,)","(0.00015441735191199998,)","(0.00023779595504100012,)","(0.0019301275873789547,)","(-8.711113134102222e-05,)","(-8.268564534100187e-05,)","(0.0587333087400026,)","(0.0005348093799995013,)","(0.0007564256289924742,)",1.5,1.25,0.75
"(0.032543595157051186,)","(0.0014680952569960937,)","(0.0023559778662445297,)","(-0.005088768120790982,)","(0.0009676892268890014,)","(0.001632876660471988,)","(-0.0008474038428,)","(0.00013296241087899958,)","(0.00020626599089999982,)","(0.0013485124970809836,)","(-6.702587353002443e-05,)","(-8.99448479299847e-05,)","(0.037131254624000576,)","(0.00043446949298697746,)","(0.0006067800629949716,)",1.5,1.25,1.0
"(0.018009602882415265,)","(0.0011600264954125805,)","(0.0018048084373702977,)","(-0.004078303000826011,)","(0.0007468671685409989,)","(0.0012026304018389888,)","(-0.0007153617061940003,)","(0.00011191725640999958,)","(0.00016680665762399977,)","(0.000824214544300983,)","(-4.971100171902165e-05,)","(-6.974659574598974e-05,)","(0.021979053045015462,)","(0.00035095307200094794,)","(0.0005051179740007683,)",1.5,1.25,1.25
"(0.009222233421937176,)","(0.0008869508141060578,)","(0.0013014728472029446,)","(-0.003082084136388996,)","(0.0005641510470069944,)","(0.000817233910724996,)","(-0.0005714331132030005,)","(9.213576328399951e-05,)","(0.00012574114764299978,)","(0.0004461010229120099,)","(-3.6601306976996595e-05,)","(-4.326106390001305e-05,)","(0.01242964964899329,)","(0.0002672653109954126,)","(0.0004017588529876548,)",1.5,1.25,1.5
"(0.004415645264998602,)","(0.0006775369753881932,)","(0.0009065919045383453,)","(-0.002269971948489019,)","(0.00042730118526498884,)","(0.0005711108933649789,)","(-0.00044053300220700097,)","(7.453258127099963e-05,)","(9.355522886999972e-05,)","(0.00021723295582101732,)","(-2.6666390678997676e-05,)","(-2.9606791549979805e-05,)","(0.006908917261000624,)","(0.00020236959998953807,)","(0.0002715325739899299,)",1.5,1.25,1.75
"(0.05709132473961631,)","(0.001956952215650176,)","(0.003016869844728376,)","(-0.005505625533928971,)","(0.0013119391073939946,)","(0.001965852674402996,)","(-0.0008877243781749995,)","(0.000150647683055,)","(0.00021866648866799947,)","(0.002203885115591969,)","(-9.203401356899787e-05,)","(-7.005695656200905e-05,)","(0.06128078953599925,)","(0.0005863994389869731,)","(0.000902407637994429,)",1.5,1.5,0.25
"(0.0432718379308028,)","(0.001727815894994933,)","(0.002743844667222106,)","(-0.005273579296595027,)","(0.0011743513535489858,)","(0.0018072428107979988,)","(-0.0008578213828580004,)","(0.0001421447805819995,)","(0.00021159516663300012,)","(0.001894709769026004,)","(-8.349772316099124e-05,)","(-7.116736309301097e-05,)","(0.04750852884100709,)","(0.0004948174839967123,)","(0.0007961740529935923,)",1.5,1.5,0.5
"(0.028278291096384578,)","(0.0014570143446093198,)","(0.0023404905055031122,)","(-0.004838930433858968,)","(0.0009872335307349878,)","(0.0015774427335960017,)","(-0.0008036979905500004,)","(0.00012828058371499966,)","(0.00019631304765900005,)","(0.001478722169083957,)","(-6.840917901398957e-05,)","(-7.910175361300342e-05,)","(0.032442197352011704,)","(0.0004099094090008748,)","(0.0006458364780002057,)",1.5,1.5,0.75
"(0.016282151642741383,)","(0.0012075060258069925,)","(0.0018923088416755718,)","(-0.004175830801841973,)","(0.0007981811784250059,)","(0.0012794640662029955,)","(-0.0007176714458510007,)","(0.00011220751496399985,)","(0.0001713126973349995,)","(0.0010404758772669942,)","(-5.218614911201014e-05,)","(-7.380436148299307e-05,)","(0.020135178013987343,)","(0.00034930348199679884,)","(0.0005153364399888005,)",1.5,1.5,1.0
"(0.008297840992227634,)","(0.0009720369510120008,)","(0.0014481693619359248,)","(-0.0033854158264600143,)","(0.0006297278427709885,)","(0.0009400619874009863,)","(-0.0006058470366600011,)","(9.61950989379996e-05,)","(0.0001378663072579998,)","(0.0006604353139920416,)","(-3.9333082599984914e-05,)","(-5.2340053658006536e-05,)","(0.011628668542002174,)","(0.00028544709199707086,)","(0.0004225811210005759,)",1.5,1.5,1.25
"(0.0036681407192133975,)","(0.0007622758617316094,)","(0.001055549279996626,)","(-0.002619503750172003,)","(0.0004912869290930044,)","(0.0006613874796619901,)","(-0.0004869712056600013,)","(8.12830891869995e-05,)","(0.00010507037686199958,)","(0.0003832717424069598,)","(-2.967177453802594e-05,)","(-3.4469979445006516e-05,)","(0.006391343932989457,)","(0.0002193776179950646,)","(0.0003235614029932776,)",1.5,1.5,1.5
"(0.001314557366569602,)","(0.000605300333504033,)","(0.0007557736422825201,)","(-0.0019776364238440203,)","(0.0003873909099929851,)","(0.0004847725543769832,)","(-0.0003782925868230005,)","(6.783536561699981e-05,)","(7.991172503999961e-05,)","(0.00020771159628202307,)","(-2.2027305848992818e-05,)","(-2.5855255824991374e-05,)","(0.003462774782022393,)","(0.00017210136400080955,)","(0.00021694461899812723,)",1.5,1.5,1.75
"(0.02801948456274772,)","(0.0014697613459588865,)","(0.0022778099359754833,)","(-0.004648065045938982,)","(0.0010493152607529976,)","(0.0014527536849229805,)","(-0.0007631395895929998,)","(0.0001265505157720002,)","(0.00017186019795199965,)","(0.0015333230134299547,)","(-7.527124732401025e-05,)","(-6.929191821600234e-05,)","(0.031897366185006604,)","(0.000369166816994948,)","(0.0007224879709895049,)",1.5,1.75,0.25
"(0.020992580379527226,)","(0.0013325389014227085,)","(0.002107729483796561,)","(-0.004362514904665021,)","(0.0009510127740119945,)","(0.0013590873704779904,)","(-0.0007283791084369993,)","(0.00012054307586800012,)","(0.00016977021015699995,)","(0.001318626611852003,)","(-6.6152724348012e-05,)","(-6.996795321201343e-05,)","(0.024764847780986088,)","(0.0003271357759899729,)","(0.0006488398559980624,)",1.5,1.75,0.5
"(0.013142187715260434,)","(0.0011655059800546042,)","(0.0018186369001682579,)","(-0.0039201904203109705,)","(0.0008172047413460004,)","(0.001182788259764006,)","(-0.0006709139605949998,)","(0.00011030875890300027,)","(0.000158096859287,)","(0.001033596344387988,)","(-5.356094517000587e-05,)","(-6.636763338602192e-05,)","(0.01669969575100083,)","(0.00029155342500075676,)","(0.000544119413987687,)",1.5,1.75,0.75
"(0.00682587298024373,)","(0.000989714013030607,)","(0.0014703573222902833,)","(-0.0033604051449669936,)","(0.0006765870449189915,)","(0.0009431362266640042,)","(-0.0005916860062380007,)","(9.781143623999958e-05,)","(0.00013602056393600005,)","(0.0007417198637320321,)","(-4.164484913499189e-05,)","(-5.321531428301163e-05,)","(0.010036244267993766,)","(0.000256960380994542,)","(0.00044441584599042017,)",1.5,1.75,1.0
"(0.0027315111414480953,)","(0.0008148412924384729,)","(0.0011281251781838364,)","(-0.002751028739813005,)","(0.0005471662629429885,)","(0.0007033610979040039,)","(-0.0004979699494119996,)","(8.520812626299987e-05,)","(0.00010914401282900027,)","(0.0004911007284439939,)","(-3.1994860012984905e-05,)","(-3.768063892001239e-05,)","(0.0054894091020116775,)","(0.0002144617629937784,)","(0.0003533007059957072,)",1.5,1.75,1.25
"(0.0005165151024613124,)","(0.0006615247701802218,)","(0.0008329879972706067,)","(-0.002171874379228028,)","(0.00043988907166297997,)","(0.0005218273625649805,)","(-0.0004021821321439998,)","(7.344258147099977e-05,)","(8.47716064249996e-05,)","(0.00030457849681003735,)","(-2.4302671724985014e-05,)","(-2.813081234698256e-05,)","(0.0027859931179818886,)","(0.00017249578898770324,)","(0.00025451984099333913,)",1.5,1.75,1.5
"(-0.0004310440182138109,)","(0.0005452983893832197,)","(0.0006131525082935241,)","(-0.0016778025283749887,)","(0.0003565622355549969,)","(0.00039763744339499363,)","(-0.0003151525687490001,)","(6.245505796799965e-05,)","(6.579561508199966e-05,)","(0.00018077631712398734,)","(-1.8041268006002698e-05,)","(-2.2306160702006972e-05,)","(0.0013811347619849812,)","(0.0001443223639938651,)","(0.0001720256109933871,)",1.5,1.75,1.75
"(0.06421847324760677,)","(0.0015908218210967107,)","(0.0022493932697216223,)","(-0.005869223371067017,)","(0.0011714318264239854,)","(0.0015073441536889998,)","(-0.0009392363668989994,)","(0.00016547346581599967,)","(0.00019482165720800023,)","(0.0008723806111540222,)","(-9.121287891999952e-05,)","(-8.378823629101584e-05,)","(0.07015455237498713,)","(0.0003451294079894751,)","(0.000631015694992243,)",1.75,0.25,1.0
"(0.038397823122551245,)","(0.0012632918018056216,)","(0.0017225410418149067,)","(-0.004231649112799024,)","(0.0009042070985619821,)","(0.0011193332260990008,)","(-0.0007405415888840005,)","(0.00013504284884699978,)","(0.00015543339897000023,)","(0.00040485570522005854,)","(-7.261336054598111e-05,)","(-6.154660428800418e-05,)","(0.04296515811901713,)","(0.00029665521499566694,)","(0.0005093210209992094,)",1.75,0.25,1.25
"(0.02158146694303298,)","(0.0009672413655152923,)","(0.001265182827481226,)","(-0.0030018205231290285,)","(0.0006550670687699989,)","(0.000816915999741985,)","(-0.00057716585457,)","(0.00010382768536499991,)","(0.00012032031851500011,)","(0.0001270786377420008,)","(-5.3111115270010334e-05,)","(-4.522571175000212e-05,)","(0.02503337468299094,)","(0.0002614577269923757,)","(0.0003731722209892041,)",1.75,0.25,1.5
"(0.011668992924100507,)","(0.0007324065445999395,)","(0.0009208927201598271,)","(-0.002139984450226007,)","(0.0004585701902649897,)","(0.0005993188458569831,)","(-0.0004457638899120009,)","(7.669588423300008e-05,)","(9.268286531399945e-05,)","(-9.993464065966018e-06,)","(-3.60232754059997e-05,)","(-3.3008878442986056e-05,)","(0.014264734727007067,)","(0.00023316374499415815,)","(0.00026189988699343303,)",1.75,0.25,1.75
"(0.053750710468847274,)","(0.0015391100475881103,)","(0.0023069098365056107,)","(-0.005432464916443003,)","(0.0011003737405770042,)","(0.0015475616206870046,)","(-0.0008914221896240008,)","(0.00015559651682200016,)","(0.00019819736269499968,)","(0.0009485769872190075,)","(-8.467573166801023e-05,)","(-8.846831742900796e-05,)","(0.05912602058801042,)","(0.0003678155219972723,)","(0.0006496191709999266,)",1.75,0.5,1.0
"(0.031927507649427866,)","(0.0012200349408146849,)","(0.0017590031317951116,)","(-0.004015608318394981,)","(0.0008464037810420044,)","(0.0011400356376130016,)","(-0.0007143263139639993,)","(0.0001271108251240001,)","(0.00015855024498100025,)","(0.0004758909759979557,)","(-6.634174709801988e-05,)","(-6.404770370802004e-05,)","(0.03618155130598666,)","(0.0003128620819978778,)","(0.0005244649529885237,)",1.75,0.5,1.25
"(0.017792219055962732,)","(0.0009321793357202068,)","(0.001282313743260488,)","(-0.0028949271839439905,)","(0.0006160299905839939,)","(0.0008116924944610027,)","(-0.0005602378921979994,)","(9.879155102599999e-05,)","(0.00012187921506199954,)","(0.00018276069262798678,)","(-4.8316523984015536e-05,)","(-4.379880723900942e-05,)","(0.021064623439002617,)","(0.0002656743179869636,)","(0.0003925408409912734,)",1.75,0.5,1.5
"(0.009510261725125702,)","(0.0007066620323854522,)","(0.0009214830075876534,)","(-0.002085144330380012,)","(0.0004389795647259942,)","(0.0005892379702940043,)","(-0.0004330267837710008,)","(7.456078061899955e-05,)","(9.322640415e-05,)","(3.100590561200267e-05,)","(-3.320864336300855e-05,)","(-3.1589969414019814e-05,)","(0.011997426934001965,)","(0.00022633032999408442,)","(0.00027060860298888656,)",1.75,0.5,1.75
"(0.061670783102783844,)","(0.001723789849151558,)","(0.0028186690981186757,)","(-0.005855873664865008,)","(0.0012132458712299787,)","(0.0019114029757610063,)","(-0.0009473464367100006,)","(0.00016243189680999973,)","(0.00022884419534499947,)","(0.0015193007905380251,)","(-9.14729693299865e-05,)","(-9.835989241901988e-05,)","(0.06695470241299972,)","(0.0004395850499889775,)","(0.0007767818189989839,)",1.75,0.75,0.75
"(0.03940514665129058,)","(0.0014255042382274041,)","(0.002280009191622412,)","(-0.004785134933404989,)","(0.000982151278088983,)","(0.0015286485059949895,)","(-0.00081399791438,)","(0.00013963669825700024,)","(0.00019645774446799998,)","(0.0009706570295620331,)","(-7.376414917498186e-05,)","(-8.813178865998972e-05,)","(0.0440336224699962,)","(0.0003774804109895058,)","(0.0006430347299897221,)",1.75,0.75,1.0
"(0.023088395126478645,)","(0.0011277095794071101,)","(0.001738428926699953,)","(-0.0036682981057669928,)","(0.0007557167167339951,)","(0.001116834599600991,)","(-0.0006675302872069999,)","(0.00011501234780300022,)","(0.0001571111626550003,)","(0.0005285854035240178,)","(-5.6763191192993334e-05,)","(-6.277467590801167e-05,)","(0.026895638116002374,)","(0.0003137437059876902,)","(0.0005272578399910799,)",1.75,0.75,1.25
"(0.012616259088588322,)","(0.0008641039918160232,)","(0.0012597537448613139,)","(-0.0027117444686910186,)","(0.0005584941768319862,)","(0.0007828069204269816,)","(-0.0005289657495800007,)","(9.130229703299946e-05,)","(0.00011998456106299994,)","(0.00023852445156899438,)","(-4.1510820721984976e-05,)","(-4.12223380240051e-05,)","(0.01561844485499364,)","(0.00025581833899934736,)","(0.0003981846009963874,)",1.75,0.75,1.5
"(0.006557774330332222,)","(0.0006629509649371812,)","(0.0008981496871172112,)","(-0.00198577371216202,)","(0.0004107318870749943,)","(0.0005680499930229843,)","(-0.00040993286478699896,)","(7.11325771750003e-05,)","(9.154494424799993e-05,)","(7.875410170204988e-05,)","(-2.926804878899958e-05,)","(-3.007335833499214e-05,)","(0.008874726804990019,)","(0.00021035454899731576,)","(0.0002686281079888886,)",1.75,0.75,1.75
"(0.07217404800185534,)","(0.0019779136046622625,)","(0.003332555045133745,)","(-0.005422365067035972,)","(0.0013731495403880023,)","(0.0022009234312140025,)","(-0.0009058594052460001,)","(0.00016671199241700008,)","(0.00024263034744299947,)","(0.0020888824464099787,)","(-0.00010368801258400784,)","(-7.674596245901832e-05,)","(0.07641339002699965,)","(0.0005417400839888842,)","(0.0009657472289887892,)",1.75,1.0,0.25
"(0.0572182887398327,)","(0.0017762639007656844,)","(0.003026181641473613,)","(-0.0052658427737670155,)","(0.001232028658691986,)","(0.0020219192284989806,)","(-0.0008791962333279998,)","(0.00015590258646500012,)","(0.0002329268042850002,)","(0.0017902851153619725,)","(-9.24052152820043e-05,)","(-8.33499853210018e-05,)","(0.06157304263200558,)","(0.0004807378709870136,)","(0.000854685593992599,)",1.75,1.0,0.5
"(0.039875921424865624,)","(0.001519898361095784,)","(0.0025946701855872334,)","(-0.00482534630739298,)","(0.0010419325240819954,)","(0.0017543967157079843,)","(-0.0008195899133739996,)","(0.0001398726311679999,)","(0.00021404191264899966,)","(0.00136518418373896,)","(-7.67226163390089e-05,)","(-8.983024021899655e-05,)","(0.04415567346099181,)","(0.00041481582199764944,)","(0.0007160617969930172,)",1.75,1.0,0.75
"(0.02489605076708301,)","(0.0012558681882950395,)","(0.002106877883107927,)","(-0.004094699686709974,)","(0.0008418657912939997,)","(0.0014052904146439893,)","(-0.0007232875356549991,)","(0.00012108083694500026,)","(0.0001844604045870002,)","(0.0009129078094999576,)","(-6.0444837880008206e-05,)","(-8.011378666600288e-05,)","(0.028801130180980294,)","(0.0003533663979879975,)","(0.0005972408509933302,)",1.75,1.0,1.0
"(0.014114724041320414,)","(0.0009985605836533296,)","(0.001611363476726524,)","(-0.0032471444684770145,)","(0.000654757325014993,)","(0.0010253668932989901,)","(-0.0006044090181290002,)","(0.00010150045187500012,)","(0.000147494446374,)","(0.0005326207110729897,)","(-4.6213946129997074e-05,)","(-5.637667023000725e-05,)","(0.017433656816990606,)","(0.00028851675298824375,)","(0.0004948788069896182,)",1.75,1.0,1.25
"(0.007332246615007421,)","(0.0007754308666676479,)","(0.0011698674431528389,)","(-0.00246670947215602,)","(0.000497480885580992,)","(0.0007227643622869928,)","(-0.0004838728778749999,)","(8.297429890400006e-05,)","(0.00011275829792299977,)","(0.00027049288433203533,)","(-3.44679397749903e-05,)","(-3.757602607901145e-05,)","(0.01001233608097607,)","(0.00022944362198984436,)","(0.0003719208089876247,)",1.75,1.0,1.5
"(0.0035267233066633707,)","(0.0006106115870778694,)","(0.0008401758133089743,)","(-0.0018425433940960079,)","(0.0003810135551390037,)","(0.0005326324740339838,)","(-0.00037654139821400017,)","(6.702648288000029e-05,)","(8.661903430899967e-05,)","(0.00011703620928302239,)","(-2.505591264800877e-05,)","(-2.8315723884980715e-05,)","(0.005628771889988116,)","(0.00018762746199740832,)","(0.0002492400289924035,)",1.75,1.0,1.75
"(0.04226018613825033,)","(0.001653942447319423,)","(0.002818401862455744,)","(-0.004557894707955007,)","(0.0011484940350449946,)","(0.0018294765704159888,)","(-0.00078358669284,)","(0.00013911057203599975,)","(0.00020912972032299977,)","(0.0017378448216630038,)","(-8.538073306699201e-05,)","(-6.972058878598753e-05,)","(0.04586382271699563,)","(0.00045171857298953455,)","(0.000849516159988184,)",1.75,1.25,0.25
"(0.03291737715088061,)","(0.0014905105286402431,)","(0.0025776894106002146,)","(-0.004387784184430976,)","(0.0010318862517169902,)","(0.0017035449596529972,)","(-0.0007592354451639999,)","(0.00013088433261300002,)","(0.00020328256406000004,)","(0.0014911376139889743,)","(-7.556062695099341e-05,)","(-7.567241833200677e-05,)","(0.036573259165990635,)","(0.0004033005709942472,)","(0.000746534304994384,)",1.75,1.25,0.5
"(0.022189803170789446,)","(0.0012858195337486222,)","(0.0022234161180421097,)","(-0.004022164249655985,)","(0.0008762397132729971,)","(0.0014899634632009884,)","(-0.0007092940756319999,)","(0.00011856970549399982,)","(0.00018851050359199994,)","(0.0011495549748319622,)","(-6.196712672401627e-05,)","(-7.816828123100028e-05,)","(0.025771706520984594,)","(0.0003529772419881283,)","(0.0006231104319880387,)",1.75,1.25,0.75
"(0.013118384062195787,)","(0.0010727587030174845,)","(0.0018117959645849169,)","(-0.003460919223664982,)","(0.000715110459986984,)","(0.0011937363337480023,)","(-0.0006302318074330009,)","(0.0001041628717219998,)","(0.00016280688467499964,)","(0.0007916410411820118,)","(-4.8461016340983765e-05,)","(-6.630060494700052e-05,)","(0.01641789405199745,)","(0.00030194638799230233,)","(0.0005215533509925763,)",1.75,1.25,1.0
